word,frequency,compound,negative,neutral,positive
earthquakes,0.1328869198101648,0.0,0.0,1.0,0.0
subject,6.347185586810886,0.0,0.0,1.0,0.0
interruption,0.443896027327327,-0.3612,1.0,0.0,0.0
fire,0.17812218770699753,-0.34,1.0,0.0,0.0
power,0.5343665631209924,0.0,0.0,1.0,0.0
nuclear,0.17812218770699753,0.0,0.0,1.0,0.0
plant,0.3110091075171623,0.0,0.0,1.0,0.0
terrorist,0.17812218770699753,-0.6908,1.0,0.0,0.0
attacks,0.8968451825879534,-0.4404,1.0,0.0,0.0
hostile,0.17812218770699753,-0.3818,1.0,0.0,0.0
acts,0.35624437541399506,0.0,0.0,1.0,0.0
ransomware,0.27927223204561913,0.0,0.0,1.0,0.0
cybersecurity,0.13963611602280956,0.0,0.0,1.0,0.0
pandemics,0.2502448179897887,0.0,0.0,1.0,0.0
climate,0.29981464681252734,0.0,0.0,1.0,0.0
change,1.859379290463707,0.0,0.0,1.0,0.0
types,0.8028061916284126,0.0,0.0,1.0,0.0
occurring,0.1328869198101648,0.0,0.0,1.0,0.0
frequently,0.48913129522415977,0.0,0.0,1.0,0.0
intense,0.7220750185794909,0.0772,0.0,0.0,1.0
difficult,0.35624437541399506,-0.3612,1.0,0.0,0.0
impossible,0.35624437541399506,0.0,0.0,1.0,0.0
manufacture,0.7514855174994646,0.0,0.0,1.0,0.0
deliver,0.3110091075171623,0.0,0.0,1.0,0.0
create,0.4500626777338032,0.2732,0.0,0.0,1.0
delays,0.5381686247794286,0.0,0.0,1.0,0.0
inefficiencies,0.17812218770699753,0.0,0.0,1.0,0.0
slowdowns,0.3110091075171623,0.0,0.0,1.0,0.0
outages,0.3110091075171623,0.0,0.0,1.0,0.0
offerings,0.6836277996425053,0.0,0.0,1.0,0.0
substantial,1.944017208774809,0.2023,0.0,0.0,1.0
recovery,0.35624437541399506,0.0,0.0,1.0,0.0
experience,1.71140381905857,0.0,0.0,1.0,0.0
expenditures,0.17812218770699753,0.0,0.0,1.0,0.0
resume,0.17812218770699753,0.0,0.0,1.0,0.0
lose,0.2882508007351869,-0.4019,1.0,0.0,0.0
relies,1.0234978583451522,0.0,0.0,1.0,0.0
single,0.7776634416264647,0.0,0.0,1.0,0.0
limited,1.3132543951660942,-0.2263,1.0,0.0,0.0
sources,0.6220182150343246,0.0,0.0,1.0,0.0
exacerbate,0.1328869198101648,0.0,0.0,1.0,0.0
consequences,0.3110091075171623,0.0,0.0,1.0,0.0
required,0.937338443905347,0.0,0.0,1.0,0.0
maintain,0.7756676756421023,0.0,0.0,1.0,0.0
safe,0.17812218770699753,0.4404,0.0,0.0,1.0
working,0.24794024571840226,0.0,0.0,1.0,0.0
environments,0.22335745560383016,0.0,0.0,1.0,0.0
accident,0.17812218770699753,-0.4767,1.0,0.0,0.0
serious,0.051874401094125035,-0.0772,1.0,0.0,0.0
injuries,0.051874401094125035,0.0,0.0,1.0,0.0
loss,1.2939874786063217,-0.3182,1.0,0.0,0.0
life,0.34124785305092387,0.0,0.0,1.0,0.0
major,0.35624437541399506,0.0,0.0,1.0,0.0
due,1.0366948987157487,0.0,0.0,1.0,0.0
stringent,0.17812218770699753,0.0,0.0,1.0,0.0
employee,0.5571248699029678,0.0,0.0,1.0,0.0
freight,0.17812218770699753,0.0,0.0,1.0,0.0
movement,0.17812218770699753,0.0,0.0,1.0,0.0
current,0.7803368366615288,0.0,0.0,1.0,0.0
production,0.814192370216146,0.0,0.0,1.0,0.0
ramps,0.17812218770699753,0.0,0.0,1.0,0.0
maintains,0.4447373328818209,0.0,0.0,1.0,0.0
insurance,1.0675968534706395,0.0,0.0,1.0,0.0
coverage,1.000725930013443,0.0,0.0,1.0,0.0
losses,1.8691521432035647,-0.4019,1.0,0.0,0.0
insufficient,0.6228595205888183,0.0,0.0,1.0,0.0
cover,0.6228595205888183,0.0,0.0,1.0,0.0
arise,0.8668618478269356,0.0,0.0,1.0,0.0
highly,0.8694859779619106,0.0,0.0,1.0,0.0
rapid,1.0018622027847888,0.0,0.0,1.0,0.0
technological,0.6456178273707938,0.0,0.0,1.0,0.0
unable,0.8050651156213702,0.0,0.0,1.0,0.0
compete,0.9803720360696946,0.0,0.0,1.0,0.0
offered,0.2657738396203296,0.0,0.0,1.0,0.0
characterized,0.17812218770699753,0.0,0.0,1.0,0.0
aggressive,0.35624437541399506,-0.1531,1.0,0.0,0.0
competition,1.7520543490199034,0.0,0.0,1.0,0.0
downward,0.2893734519567988,0.0,0.0,1.0,0.0
pressure,0.2893734519567988,-0.296,1.0,0.0,0.0
margins,1.6830571794820322,0.0,0.0,1.0,0.0
frequent,0.35624437541399506,0.0,0.0,1.0,0.0
introduction,0.7883029690604796,0.0,0.0,1.0,0.0
short,0.35624437541399506,0.0,0.0,1.0,0.0
product,6.019483581224624,0.0,0.0,1.0,0.0
cycles,0.2893734519567988,0.0,0.0,1.0,0.0
evolving,0.304629296677223,0.0,0.0,1.0,0.0
standards,0.598468019513587,0.0,0.0,1.0,0.0
continual,0.17812218770699753,0.0,0.0,1.0,0.0
improvement,0.17812218770699753,0.4588,0.0,0.0,1.0
characteristics,0.17812218770699753,0.0,0.0,1.0,0.0
adoption,0.35624437541399506,0.0,0.0,1.0,0.0
advancements,0.17812218770699753,0.0,0.0,1.0,0.0
competitors,1.901089852842908,0.0,0.0,1.0,0.0
sensitivity,0.17812218770699753,0.0,0.0,1.0,0.0
consumers,0.5066988694103851,0.0,0.0,1.0,0.0
successfully,0.7823068088393947,0.4939,0.0,0.0,1.0
depends,1.4768519027501048,0.0,0.0,1.0,0.0
heavily,0.17812218770699753,0.0,0.0,1.0,0.0
ensuring,0.08948374139390232,0.2732,0.0,0.0,1.0
continuing,0.19778787108949505,0.0,0.0,1.0,0.0
timely,0.6041846211323971,0.0,0.0,1.0,0.0
innovative,0.5343665631209924,0.4404,0.0,0.0,1.0
technologies,0.8867366153642842,0.0,0.0,1.0,0.0
marketplace,0.17812218770699753,0.0,0.0,1.0,0.0
designs,0.17812218770699753,0.0,0.0,1.0,0.0
develops,0.17812218770699753,0.0,0.0,1.0,0.0
nearly,0.17812218770699753,0.0,0.0,1.0,0.0
entire,0.17812218770699753,0.0,0.0,1.0,0.0
solution,0.17812218770699753,0.3182,0.0,0.0,1.0
hardware,1.3354937602620778,0.0,0.0,1.0,0.0
operating,4.16696259643213,0.0,0.0,1.0,0.0
system,1.4702127695528129,0.0,0.0,1.0,0.0
numerous,0.8207928805235827,0.0,0.0,1.0,0.0
software,3.1403152496685216,0.0,0.0,1.0,0.0
related,1.2514736798217905,0.0,0.0,1.0,0.0
investments,0.6314762321119501,0.0,0.0,1.0,0.0
there,2.8459822216107855,0.0,0.0,1.0,0.0
assurance,2.637038742563858,0.34,0.0,0.0,1.0
achieve,0.2366357219984149,0.0,0.0,1.0,0.0
expected,0.737071540942562,0.0,0.0,1.0,0.0
returns,0.3110091075171623,0.0,0.0,1.0,0.0
develop,1.2417394639452364,0.0,0.0,1.0,0.0
holds,0.17812218770699753,0.0,0.0,1.0,0.0
patents,0.9136369694343471,0.0,0.0,1.0,0.0
trademarks,0.2893734519567988,0.0,0.0,1.0,0.0
copyrights,0.2893734519567988,0.0,0.0,1.0,0.0
registered,0.17812218770699753,0.0,0.0,1.0,0.0
applied,0.22999658880112253,0.0,0.0,1.0,0.0
register,0.17812218770699753,0.0,0.0,1.0,0.0
contrast,0.17812218770699753,0.0,0.0,1.0,0.0
seek,0.7996679199505059,0.0,0.0,1.0,0.0
pricing,1.4033418460956169,0.0,0.0,1.0,0.0
low,0.22335745560383016,-0.2732,1.0,0.0,0.0
structures,0.5064924063352709,0.0,0.0,1.0,0.0
imitating,0.06981805801140478,0.0,0.0,1.0,0.0
infringing,0.31213175873877425,0.0,0.0,1.0,0.0
intellectual,2.17931267168502,0.5106,0.0,0.0,1.0
property,2.44508651130535,0.0,0.0,1.0,0.0
